"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"1" "Fagus sylvatica" 41 "LDMC" 0.521697633726468 0.433010984625835 -0.325509296174265 -0.902974213248902
"2" "Fagus sylvatica" 42 "LDMC" 0.890157184228214 0.270420915763128 -1.00723143544218 -0.890397083900707
"3" "Fagus sylvatica" 52 "LDMC" 0.996319121593404 0.297095532349478 -2.08873176535353 2.3628003875969
"4" "Fagus sylvatica" 53 "LDMC" 0.656404018711454 0.381789346099448 -0.330471899482834 -1.6071506802441
"5" "Fagus sylvatica" 54 "LDMC" 0.930600053175921 0.238845844233013 -1.16480223603441 -0.569713949481289
"6" "Fagus sylvatica" 61 "LDMC" 0.502928787330022 0.591082374751183 -0.270602284385212 -1.68622580616666
"7" "Fagus sylvatica" 62 "LDMC" 0.631199027263967 0.490105907323112 -0.496999802532683 -1.47140542372808
"8" "Fagus sylvatica" 63 "LDMC" 0.537373745805919 0.425150754363884 -0.0427567187760377 -1.75522817996505
"9" "Fagus sylvatica" 64 "LDMC" 0.95695596625394 0.260683643457833 -1.7192028982638 1.74460473306107
"10" "Fagus sylvatica" 65 "LDMC" 1.06840584708492 0.150366422824433 -2.41404707387096 4.38121209419532
"11" "Mixed forest" 48 "LDMC" 0.140336075402185 0.670682091551169 -0.730209269823783 0.160218208089682
"12" "Mixed forest" 49 "LDMC" 0.247078840718787 0.777118225348163 -0.822675838887454 -0.40935247414127
"13" "Mixed forest" 58 "LDMC" 0.367564482764084 0.805346904872994 -0.550263698793451 0.047460554389402
"14" "Mixed forest" 59 "LDMC" 0.665136240495086 0.610628669354719 -1.10698526413446 0.264037327383043
"15" "Mixed forest" 60 "LDMC" 0.448312768387417 0.436919452121897 -1.18007886295413 0.954875347285304
"16" "Mixed forest" 67 "LDMC" 0.435437536739037 0.309786836726429 -0.150645504400807 1.04522269912343
"17" "Mixed forest" 68 "LDMC" 0.623762896397854 0.439823529848712 0.14647158955867 -0.885229224528542
"18" "Mixed forest" 69 "LDMC" 0.311403595974992 0.232171527056099 -2.61548747886774 8.07881338682637
"19" "Mixed forest" 70 "LDMC" 0.711965080983918 0.337861882294216 -1.05672254484157 1.42814029745322
"20" "Mixed forest" 71 "LDMC" 0.167391464690734 0.351557772431923 -1.25803043525266 0.541359801857188
"21" "Q. pyrenaica-F. sylvatica" 9 "LDMC" 0.488970718844138 0.0551201971736955 -0.480709708285411 0.379014387017251
"22" "Q. pyrenaica-F. sylvatica" 10 "LDMC" 0.42208882117382 0.0584842906316741 -0.846988052132519 2.90062985035844
"23" "Q. pyrenaica-F. sylvatica" 14 "LDMC" 0.524291631633021 0.041927124382357 -0.388964049551454 -1.83500414177228
