"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"1" "Fagus sylvatica" 41 "LDMC" 0.552333115688132 0.456263258796937 -0.325509296174265 -0.902974213248902
"2" "Fagus sylvatica" 42 "LDMC" 0.9305562681618 0.28494225932756 -1.00723143544218 -0.890397083900707
"3" "Fagus sylvatica" 52 "LDMC" 1.03953133087437 0.313049277216179 -2.08873176535354 2.3628003875969
"4" "Fagus sylvatica" 53 "LDMC" 0.690609009250869 0.402291067455966 -0.330471899482834 -1.6071506802441
"5" "Fagus sylvatica" 54 "LDMC" 0.972070809900918 0.251671636769278 -1.16480223603441 -0.56971394948129
"6" "Fagus sylvatica" 61 "LDMC" 0.533066924208793 0.622822930818825 -0.270602284385212 -1.68622580616666
"7" "Fagus sylvatica" 62 "LDMC" 0.664736124940071 0.51642412403025 -0.496999802532683 -1.47140542372808
"8" "Fagus sylvatica" 63 "LDMC" 0.568424620226817 0.447980941715972 -0.0427567187760374 -1.75522817996505
"9" "Fagus sylvatica" 64 "LDMC" 0.999125113465898 0.27468210484754 -1.7192028982638 1.74460473306107
"10" "Fagus sylvatica" 65 "LDMC" 1.11352824187798 0.158440955373909 -2.41404707387096 4.38121209419531
"11" "Mixed forest" 48 "LDMC" 0.135631841463072 0.63440464493651 -1.06877329139819 0.0385126433896277
"12" "Mixed forest" 49 "LDMC" 0.265193453242456 0.805079697860671 -0.864207626655527 -0.416003726806145
"13" "Mixed forest" 58 "LDMC" 0.35076378400643 0.743834529633004 -0.80951240578157 0.240025577528428
"14" "Mixed forest" 59 "LDMC" 0.69957262125823 0.643418842677551 -1.10698526413446 0.264037327383043
"15" "Mixed forest" 60 "LDMC" 0.477003666160781 0.460381607245294 -1.18007886295413 0.954875347285304
"16" "Mixed forest" 67 "LDMC" 0.450854934190545 0.297366885698759 -0.405859790284362 0.973933028620907
"17" "Mixed forest" 68 "LDMC" 0.617219077003691 0.38817950494243 -0.0495985691002946 -0.922159498326967
"18" "Mixed forest" 69 "LDMC" 0.334813828585607 0.240523356632784 -2.73879737555421 8.19462871241748
"19" "Mixed forest" 70 "LDMC" 0.745870154023586 0.353048994988962 -1.07922283088713 1.45363649229043
"20" "Mixed forest" 71 "LDMC" 0.188638387159365 0.370436087305696 -1.25803043525266 0.541359801857189
"21" "Q. pyrenaica-F. sylvatica" 9 "LDMC" 0.518738988732604 0.0580800988449094 -0.480709708285411 0.379014387017251
"22" "Q. pyrenaica-F. sylvatica" 10 "LDMC" 0.450084825349291 0.0616248408919526 -0.846988052132521 2.90062985035845
"23" "Q. pyrenaica-F. sylvatica" 14 "LDMC" 0.554995850483283 0.0441785707104147 -0.388964049551453 -1.83500414177228
"24" "Q. pyrenaica-F. sylvatica" 15 "LDMC" 0.499626589831575 0.0541619645583185 -0.581507759364694 1.13833724313716
"25" "Q. pyrenaica-F. sylvatica" 16 "LDMC" 0.399053878290803 0.127694095838764 -1.80679783079974 5.94548921830125
"26" "Q. pyrenaica-F. sylvatica" 17 "LDMC" 0.244117960945732 0.278934755543948 -2.43358144009052 6.18389258245726
"27" "Q. pyrenaica-F. sylvatica" 21 "LDMC" 0.597079685770378 0.043830377950209 -1.36263029519894 2.11989294807588
"28" "Q. pyrenaica-F. sylvatica" 22 "LDMC" 0.461846626295073 0.0655921447519804 -0.668665192495722 1.77440016347604
