"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"1" "Fagus sylvatica" 41 "LDMC" -0.0252629647014352 0.931194913654145 0.509600413422536 -0.531150051527162
"2" "Fagus sylvatica" 42 "LDMC" 0.340423138061578 0.709557230283963 0.220625627077079 -1.01750720754376
"3" "Fagus sylvatica" 52 "LDMC" 0.455200194450926 0.981649494349501 -0.114641532720001 -1.49014728925621
"4" "Fagus sylvatica" 53 "LDMC" 0.0386541932237498 0.761674743244774 0.660385074491061 0.0261337501932624
"5" "Fagus sylvatica" 54 "LDMC" 0.376093099305055 0.776811969489826 0.552323848963604 -0.534083118969849
"6" "Fagus sylvatica" 61 "LDMC" 0.0156558842865548 0.867024880692597 0.44569814541169 -0.940763058700095
"7" "Fagus sylvatica" 62 "LDMC" 0.0156558842865548 0.867024880692597 0.44569814541169 -0.940763058700095
"8" "Fagus sylvatica" 63 "LDMC" 0.340423138061578 0.709557230283963 0.220625627077079 -1.01750720754376
"9" "Fagus sylvatica" 64 "LDMC" 0.0653141556574717 1.01473640450115 0.485455171466336 -0.596929584084653
"10" "Fagus sylvatica" 65 "LDMC" 0.109145304036341 0.921242597671901 0.595053255478176 -0.478476464835985
"11" "Mixed forest" 48 "LDMC" -0.365106157247953 0.921168728833246 0.361311392994469 -0.598646541633296
"12" "Mixed forest" 49 "LDMC" -0.230211330461474 1.14973372846211 0.313976856381325 -0.878926990924756
"13" "Mixed forest" 58 "LDMC" -0.125374057723248 1.07587624307552 0.149451704325585 -0.789402611984182
"14" "Mixed forest" 59 "LDMC" -0.0260862428438201 1.05049420986653 -0.195645614089235 -0.817156732425189
"15" "Mixed forest" 60 "LDMC" -0.19933387421871 0.86460232564052 0.362161966058542 -0.736369986682492
"16" "Mixed forest" 67 "LDMC" 0.158948861980546 0.893648865063875 -0.0445208516711971 -0.839665200289874
"17" "Mixed forest" 68 "LDMC" 0.356803304080545 1.01426140920119 -0.406531081747913 -0.818204909251839
"18" "Mixed forest" 69 "LDMC" -0.194330819355546 0.941627975270415 -0.0615883174874438 -0.640344760280023
"19" "Mixed forest" 70 "LDMC" 0.110802225728872 0.930799552485707 0.0597382779550486 -0.839104998553255
"20" "Mixed forest" 71 "LDMC" -0.235862389282858 0.755475929704913 0.464211568039631 -0.467605713357337
"21" "Q. pyrenaica-F. sylvatica" 9 "LDMC" 0.147534234178045 0.343484664567028 0.247154711284702 -0.646266404096183
"22" "Q. pyrenaica-F. sylvatica" 10 "LDMC" 0.165693839662427 0.364320641335588 0.22230339970805 -0.605945132196875
"23" "Q. pyrenaica-F. sylvatica" 14 "LDMC" 0.486221197489624 0.463898559678081 -1.70945079955787 4.26655817677024
"24" "Q. pyrenaica-F. sylvatica" 15 "LDMC" 0.308398132035615 0.548598997829838 -0.90328641238397 0.924055385764157
"25" "Q. pyrenaica-F. sylvatica" 16 "LDMC" 0.081632797923698 0.73165969146062 -0.52752306977901 -0.53637950235282
"26" "Q. pyrenaica-F. sylvatica" 17 "LDMC" -0.0283472594216489 0.899741771895659 -0.439274903547877 -0.255376594519579
"27" "Q. pyrenaica-F. sylvatica" 21 "LDMC" 0.309936597975327 0.391193356247203 -0.101065052210789 -0.90383185150746
"28" "Q. pyrenaica-F. sylvatica" 22 "LDMC" 0.252807082140566 0.436744024963136 -0.74719357843055 1.38627314397491
"29" "Q. pyrenaica-F. sylvatica" 23 "LDMC" 0.0669726300705544 0.50689454564727 -0.306788027408629 -0.418568306920522
"30" "Q. pyrenaica-F. sylvatica" 33 "LDMC" -0.00499290607444418 0.494613004423648 -0.0767416581711329 -0.575315176902926
"31" "Quercus petraea" 80 "LDMC" -0.3382965458 0.881899240576413 -0.0295303148080703 -1.28706891353591
"32" "Quercus petraea" 90 "LDMC" -0.326733753566234 0.752227358004742 -0.0747391345699309 -1.02927346679778
"33" "Quercus petraea" 91 "LDMC" -0.217819220571014 0.694670552566848 -0.357846558890035 -0.833232126781557
"34" "Quercus petraea" 93 "LDMC" -0.113171034169283 0.701434807546016 -0.374915784140478 -0.967335375166025
"35" "Quercus petraea" 102 "LDMC" -0.234258108955479 0.61055209303375 -0.297613278693113 -0.995742296932386
"36" "Quercus petraea" 103 "LDMC" -0.281851823773621 0.772104370041756 -0.166739993057097 -1.05472394408382
"37" "Quercus petraea" 104 "LDMC" -0.3382965458 0.881899240576413 -0.0295303148080703 -1.28706891353591
"38" "Quercus petraea" 113 "LDMC" -0.298942328544037 0.995483268333474 0.197058138051574 -0.69132741128287
"39" "Quercus petraea" 114 "LDMC" -0.178899479980791 0.678691729804536 -0.271056731826444 -1.10901123764025
"40" "Quercus petraea" 115 "LDMC" -0.211526652746758 0.577088872983008 -0.126451280095196 -0.813698624356345
"41" "Quercus pyrenaica" 1 "LDMC" -0.0872349170222558 0.89208599337481 0.285528611274176 -0.543788166736966
"42" "Quercus pyrenaica" 2 "LDMC" 0.209245803125744 1.02407653362275 0.0534509861780636 -0.138164402341286
"43" "Quercus pyrenaica" 3 "LDMC" 0.354985525164542 1.21349906335376 -0.118860979025801 -0.486895344883181
"44" "Quercus pyrenaica" 4 "LDMC" 0.559549820967091 1.38320012363405 -0.183103856271781 -0.610104399709698
"45" "Quercus pyrenaica" 5 "LDMC" -0.00112852401858633 1.24770650717818 0.285415538074657 -0.596359161231618
"46" "Quercus pyrenaica" 6 "LDMC" 0.396590853060755 1.63658402769271 0.108404781067537 -0.847031979194985
"47" "Quercus pyrenaica" 7 "LDMC" 0.141722835909021 1.27002990267098 0.0143089470778595 -0.592513835009817
"48" "Quercus pyrenaica" 8 "LDMC" 0.548506111147374 1.05582279424457 -0.234002628994761 -0.713163463859677
"49" "Quercus pyrenaica" 12 "LDMC" -0.109197747613209 1.1238126558655 0.378980803832365 -0.153914791938022
"50" "Quercus pyrenaica" 20 "LDMC" 0.00531509830328222 1.14826757617185 0.305627734702678 -0.554978267746643
"51" "Shrubland" 83 "LDMC" 0.473533570856316 0.728439534501411 0.322180879861049 -0.151605861417257
"52" "Shrubland" 84 "LDMC" 0.375391961027591 0.800682085089849 0.159810925300782 -1.06523649843557
"53" "Shrubland" 95 "LDMC" 0.16454906626707 0.588365488763842 0.998738161922404 1.98866938465978
"54" "Shrubland" 96 "LDMC" 0.595334128093879 0.946937785264373 0.173511793723163 -0.840266633907848
"55" "Shrubland" 105 "LDMC" 0.182592588228569 0.723552193428819 0.967336741189438 0.955057551025781
"56" "Shrubland" 106 "LDMC" 0.377805936692425 0.87811107960944 0.707094497311086 -0.0560396510134611
"57" "Shrubland" 107 "LDMC" 0.727887292724332 0.899732948956084 -0.00727554339465253 -0.68743563665554
"58" "Shrubland" 116 "LDMC" 0.306928299670559 0.664623854512122 0.656867839724948 0.737688346008456
"59" "Shrubland" 117 "LDMC" 0.441315413048961 0.886278214394668 0.37899153349535 -0.45775931505552
"60" "Shrubland" 118 "LDMC" 0.727887292724332 0.899732948956084 -0.00727554339465253 -0.68743563665554
"61" "Fagus sylvatica" 41 "SLA" 0.28361490101294 0.725669458810564 0.0548502475604504 -0.313198761468649
"62" "Fagus sylvatica" 42 "SLA" 0.120402093445151 0.935500686482721 -0.156960927289477 -1.47050054312815
"63" "Fagus sylvatica" 52 "SLA" -0.181344570855766 1.07598537570461 0.504345787453651 -1.40278898969625
"64" "Fagus sylvatica" 53 "SLA" 0.35431428588707 0.585492726853517 -0.765551399634591 -0.512104400357991
"65" "Fagus sylvatica" 54 "SLA" 0.0451092511560944 0.757195645494449 0.0427923131615559 -1.2314285602228
"66" "Fagus sylvatica" 61 "SLA" 0.275837458788519 0.796534531567243 -0.527030516570826 -1.06498750329093
"67" "Fagus sylvatica" 62 "SLA" 0.275837458788519 0.796534531567243 -0.527030516570826 -1.06498750329093
"68" "Fagus sylvatica" 63 "SLA" 0.120402093445151 0.935500686482721 -0.156960927289477 -1.47050054312815
"69" "Fagus sylvatica" 64 "SLA" 0.273664922072566 0.90397759771621 0.070564690607835 -0.655113894279118
"70" "Fagus sylvatica" 65 "SLA" 0.1845161118886 0.701436454318267 -0.279441875280187 -1.09896825591487
"71" "Mixed forest" 48 "SLA" 0.349247525997545 1.20122637145468 0.382675187679506 -0.585558958959211
"72" "Mixed forest" 49 "SLA" 0.259185863520217 0.970516854673588 0.184819225271226 -0.730909632716453
"73" "Mixed forest" 58 "SLA" 0.237623935332093 1.09256672934881 0.608826941893463 -0.0810619113313455
"74" "Mixed forest" 59 "SLA" -0.118784126865874 0.838000231323546 0.217007452671637 -0.440477094506393
"75" "Mixed forest" 60 "SLA" 0.185350672585474 0.785697568044327 0.281373661986717 -0.479622507606943
"76" "Mixed forest" 67 "SLA" -0.231281708557776 0.764426055950284 0.324625150749169 -0.452172370553648
"77" "Mixed forest" 68 "SLA" -0.394247759963044 0.900519999896547 0.76659780527022 -0.212291346795389
"78" "Mixed forest" 69 "SLA" 0.339965910693694 0.852878620139716 0.185426783800338 -0.4037547227639
"79" "Mixed forest" 70 "SLA" -0.0638142403771458 0.637981480285698 0.29340853809769 -0.144527338645315
"80" "Mixed forest" 71 "SLA" 0.497520404818597 1.03959552566888 0.348803269970733 -0.377632485171801
"81" "Q. pyrenaica-F. sylvatica" 9 "SLA" 0.142823147981028 0.710543736656 0.211678381096345 0.28475151575202
