"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"1" "Quercus pyrenaica" 1 "root_C" -0.702634238312676 1.5120233517737 0.881383546295425 -0.460824384841231
"2" "Quercus pyrenaica" 2 "root_C" -0.791285488682567 1.15778696908544 0.596999396724982 -1.26734797387644
"3" "Quercus pyrenaica" 3 "root_C" -0.509629383313697 1.75735565786612 0.684752448720572 -0.95206014155315
"4" "Quercus pyrenaica" 4 "root_C" -0.662702583603404 1.70170603316138 0.879025459001213 -0.662078116623147
"5" "Quercus pyrenaica" 5 "root_C" -0.621034665778159 1.52651730803947 0.821545052390134 -0.534192256056774
"6" "Quercus pyrenaica" 6 "root_C" -0.911632546485738 0.919002465108185 0.789564019859451 -0.704286702106813
"7" "Quercus pyrenaica" 7 "root_C" -0.455728142202308 1.37709534435737 0.631884121919663 -0.534370442366193
"8" "Quercus pyrenaica" 8 "root_C" -0.0509851793812455 1.61760675039079 -0.0376611837763129 -1.24775809134008
"9" "Q. pyrenaica-F. sylvativa" 9 "root_C" 0.478394299490283 0.902241437848453 0.383644440624129 -1.08927011539074
"10" "Q. pyrenaica-F. sylvativa" 10 "root_C" 0.958247267480098 0.891709964619566 -0.00102671187863808 -1.9986311679749
"11" "Quercus pyrenaica" 12 "root_C" -0.750492859442414 0.767256115635277 0.318072317798852 -0.894308783362404
"12" "Q. pyrenaica-F. sylvativa" 14 "root_C" 0.796951197377963 1.11856699695249 -0.287178387295538 -1.48044269737205
"13" "Q. pyrenaica-F. sylvativa" 15 "root_C" 0.670594726692749 1.01196895254719 0.0293534254137154 -1.47927226154203
"14" "Q. pyrenaica-F. sylvativa" 16 "root_C" 0.589247901613832 0.912698144693291 0.243155783819396 -1.32433212972095
"15" "Q. pyrenaica-F. sylvativa" 17 "root_C" 0.204595416159098 1.05616650984921 0.493988652366005 -0.956626181497581
"16" "Quercus pyrenaica" 20 "root_C" -0.592235711672117 1.05975285297235 0.221875500646387 -1.39746449241757
"17" "Q. pyrenaica-F. sylvativa" 21 "root_C" 0.959554911846869 0.713374811430813 -0.00579243276054768 -1.74829147169351
"18" "Q. pyrenaica-F. sylvativa" 22 "root_C" 0.373649068586835 1.06590522417989 0.389037537184159 -1.26737762094547
"19" "Q. pyrenaica-F. sylvativa" 23 "root_C" 0.498034656220524 0.887674551449494 0.339906844296019 -1.06190857543645
"20" "Q. pyrenaica-F. sylvativa" 33 "root_C" 0.447009958114541 0.809872204267337 0.502221650003761 -0.828216799734924
"21" "Fagus sylvatica" 41 "root_C" 0.404018179534231 0.818674056649677 0.105154348129741 -0.923369690747391
"22" "Fagus sylvatica" 42 "root_C" 0.377958683480972 0.248514230257534 0.436235289697695 -1.5
"23" "Mixed forest" 48 "root_C" -0.0108523414435789 0.201668519424135 -0.178546953062283 -1.11628062067555
"24" "Mixed forest" 49 "root_C" 0.0572193575156391 0.316004170442716 0.0530932631673516 -1.22620566207557
"25" "Fagus sylvatica" 52 "root_C" 0.455439299214008 0.35476160794319 0 -2
"26" "Fagus sylvatica" 53 "root_C" -0.505584096070794 0.926733946153493 0.0626748635037371 -1.20113153551153
"27" "Fagus sylvatica" 54 "root_C" 0.2392460042257 0.244109294851679 0.846387521733151 -0.965048543053816
"28" "Mixed forest" 58 "root_C" 0.130484198248639 0.255641663173473 -0.100293112745177 -0.668131079230319
"29" "Mixed forest" 59 "root_C" 0.0981303604973697 0.417619900705082 -0.415962780255607 -0.826436136659952
"30" "Mixed forest" 60 "root_C" 0.163157776464777 0.249686210620344 0.0148680958862779 -0.779045105335338
"31" "Fagus sylvatica" 61 "root_C" 0.0265583330768166 0.55683229148564 -0.0561451618985598 -1.11409017394588
"32" "Fagus sylvatica" 62 "root_C" 0.0265583330768166 0.55683229148564 -0.0561451618985598 -1.11409017394588
"33" "Fagus sylvatica" 63 "root_C" 0.377958683480972 0.248514230257534 0.436235289697695 -1.5
"34" "Fagus sylvatica" 64 "root_C" 0.571874722524269 0.637854892829138 0.64468824396713 -1.14540391590959
"35" "Fagus sylvatica" 65 "root_C" -0.0141317402465702 0.452088561456762 0.114833656140864 -0.703687549065982
"36" "Mixed forest" 67 "root_C" 0.00361446170496667 0.393376653218296 -0.154601476818495 -0.95234569454301
"37" "Mixed forest" 68 "root_C" 0.0581494863527156 0.49808394072913 -0.294611754175619 -1.20562906358698
"38" "Mixed forest" 69 "root_C" -0.0153935164825369 0.204720262777998 -0.0808461308690996 -1.16217721164859
"39" "Mixed forest" 70 "root_C" 0.116826472082812 0.295998389866917 -0.0410427885007107 -0.898271664911092
"40" "Mixed forest" 71 "root_C" 0.0615529742046307 0.249597346389128 0.36590823842383 -0.797821947499154
"41" "Quercus petraea" 80 "root_C" -0.224050849950149 0.472625427795062 0.401575423540814 -1.35601462307655
"42" "Shrubland" 83 "root_C" 0.894510542571299 0.549486381360939 0.24485545245915 -1.23575763183005
"43" "Shrubland" 84 "root_C" 1.34860830364974 0.314168622834474 -0.0714261498028804 -1.90288312919248
"44" "Quercus petraea" 90 "root_C" -0.467421734504888 0.615017892031874 0.430139320257931 -1.11714066135117
"45" "Quercus petraea" 91 "root_C" 0.0424655147994688 0.51416864620913 -0.09734817781832 -1.39767929491135
"46" "Quercus petraea" 93 "root_C" -0.00898721523014935 0.407368593833144 -0.38941494278826 -0.999210356708212
"47" "Shrubland" 95 "root_C" 0.743487375000058 0.538806708828384 0.329294956865237 -0.907097686440995
"48" "Shrubland" 96 "root_C" 1.05985077106404 0.53379098061092 0.0813541766289561 -1.65562045372318
