"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"1" "Quercus pyrenaica" 1 "LDMC" -0.102462957611146 1.06956839933285 -0.0732632774776018 -0.790680106262535
"2" "Quercus pyrenaica" 2 "LDMC" 0.285149091715279 0.859037116961296 -0.607210849621082 0.440822864057806
"3" "Quercus pyrenaica" 3 "LDMC" 0.280499284241783 1.09270266537683 -0.457651397738066 -0.0275080463004782
"4" "Quercus pyrenaica" 4 "LDMC" 0.421062050479205 1.24949231326726 -0.321896707563264 -0.0527065181542605
"5" "Quercus pyrenaica" 5 "LDMC" 0.0532597766183985 1.28986310290881 -0.280431912393699 -0.526225728720387
"6" "Quercus pyrenaica" 6 "LDMC" 0.35074899467166 1.4024105267321 -0.191369431619138 -0.307162253075472
"7" "Quercus pyrenaica" 7 "LDMC" 0.0887693113032309 1.25463443403012 -0.348801697675495 -0.393711431801871
"8" "Quercus pyrenaica" 8 "LDMC" 0.477966897673749 0.737492761650445 -0.687724880513031 0.45222972190721
"9" "Q. pyrenaica-F. sylvativa" 9 "LDMC" 0.0185294472816622 0.335426168436683 0.132433624326333 -0.108402780051537
"10" "Q. pyrenaica-F. sylvativa" 10 "LDMC" 0.089312320017224 0.308509162602963 0.166366287184982 0.186051794466378
"11" "Quercus pyrenaica" 12 "LDMC" 5.41087673919981e-05 1.23968298168464 -0.254116726327174 -0.36441135450402
"12" "Q. pyrenaica-F. sylvativa" 14 "LDMC" 0.200107972847579 0.330646335636918 -1.01809540305755 4.77083573938537
"13" "Q. pyrenaica-F. sylvativa" 15 "LDMC" 0.118633862577454 0.39517692108113 -0.785329812256942 2.41471824064736
"14" "Q. pyrenaica-F. sylvativa" 16 "LDMC" -0.000927000130493565 0.544651964378763 -0.834205347692519 1.09717153905951
"15" "Q. pyrenaica-F. sylvativa" 17 "LDMC" -0.00166215010536711 0.523592848500265 -0.546125606007986 1.32316327317833
"16" "Quercus pyrenaica" 20 "LDMC" 0.233995149873164 0.988812525850816 -0.624292526137493 0.036983653294874
"17" "Q. pyrenaica-F. sylvativa" 21 "LDMC" 0.128809748620638 0.310521315994743 0.0558135196734254 0.0182842986314036
"18" "Q. pyrenaica-F. sylvativa" 22 "LDMC" 0.0738802679525362 0.368659464727794 -0.609124402143264 2.30419888019576
"19" "Q. pyrenaica-F. sylvativa" 23 "LDMC" -0.0238285869903776 0.443941038844516 -0.479462693742652 0.632275450631507
"20" "Q. pyrenaica-F. sylvativa" 33 "LDMC" -0.0777521742811888 0.465877556737662 -0.338320547062573 0.188866812513335
"21" "Fagus sylvatica" 41 "LDMC" 0.139900079073952 0.93355958878282 -0.239998448518784 -0.782455614157908
"22" "Fagus sylvatica" 42 "LDMC" 0.583211352185014 0.725514172126988 -0.627558935353147 -0.680721651013563
"23" "Mixed forest" 48 "LDMC" -0.39519443728092 1.22915421826368 0.51375307271132 1.10286339672978
"24" "Mixed forest" 49 "LDMC" 0.117796597621675 1.4209903844685 -0.208007799573332 -0.279073416667061
"25" "Fagus sylvatica" 52 "LDMC" 0.715959758534208 0.707167638230059 -1.03641158452081 0.106136858864373
"26" "Fagus sylvatica" 53 "LDMC" 0.179419568631506 1.02095682098244 -0.0809946030199068 -1.0775189833049
"27" "Fagus sylvatica" 54 "LDMC" 0.532578748987527 0.78592340620012 -0.343856515040721 -0.929631635129527
"28" "Mixed forest" 58 "LDMC" 0.174998467637357 1.30273838774615 -0.233953135206464 0.00838617276653286
"29" "Mixed forest" 59 "LDMC" 0.296029491314494 1.04274441299809 -0.807704626625137 0.160085557537249
"30" "Mixed forest" 60 "LDMC" 0.176604351652613 1.08769265327039 -0.436324184334302 -0.749191485916787
"31" "Fagus sylvatica" 61 "LDMC" 0.343066485970751 1.04870484082278 -0.478593293696902 -1.06304305632968
"32" "Fagus sylvatica" 62 "LDMC" 0.343066485970751 1.04870484082278 -0.478593293696902 -1.06304305632968
"33" "Fagus sylvatica" 63 "LDMC" 0.583211352185014 0.725514172126988 -0.627558935353147 -0.680721651013563
"34" "Fagus sylvatica" 64 "LDMC" 0.299136119562962 1.13883348848707 -0.378315051806138 -0.989052128778495
"35" "Fagus sylvatica" 65 "LDMC" 0.32474249048568 1.05322634858732 -0.300093111582272 -1.07352515141073
"36" "Mixed forest" 67 "LDMC" 0.354530868262005 1.0120513563499 -0.176693515377062 0.520100479919234
"37" "Mixed forest" 68 "LDMC" 0.52942360019374 0.923260538897007 -0.378259565195808 1.31856191389468
"38" "Mixed forest" 69 "LDMC" -0.244164048032473 1.17158964259614 0.280347845119546 1.46181079655724
"39" "Mixed forest" 70 "LDMC" 0.35773843067278 1.04435855035503 -0.172740596654261 0.461238705946422
"40" "Mixed forest" 71 "LDMC" 0.0891184572825092 1.08269436479258 -0.265787946643082 -0.917936725935648
"41" "Quercus petraea" 80 "LDMC" -0.126233641160535 0.760714762836573 -1.00107782325398 0.123635844300414
"42" "Shrubland" 83 "LDMC" 0.157110732348763 0.791293453526208 0.311510171245131 -0.198018716172077
"43" "Shrubland" 84 "LDMC" 0.0648849775328985 0.885391783512434 0.159810925300782 -1.06523649843557
"44" "Quercus petraea" 90 "LDMC" -0.180280253624639 0.711828253435815 -0.849228348483528 -0.000174562339563256
"45" "Quercus petraea" 91 "LDMC" -0.150992141813214 0.4702505509116 -1.08451197516435 1.53174709111771
"46" "Quercus petraea" 93 "LDMC" 0.0217257099908044 0.483597600056018 -1.13708642327477 1.220321751747
"47" "Shrubland" 95 "LDMC" -0.168269104876559 0.609894779980823 0.92887489347011 1.91686782124822
"48" "Shrubland" 96 "LDMC" 0.296169296003768 1.04712088628342 0.173511793723163 -0.840266633907849
"49" "Quercus petraea" 102 "LDMC" -0.410309540540575 0.605482558846581 -0.515153366432462 -0.791279721964995
"50" "Quercus petraea" 103 "LDMC" -0.148815962557575 0.695942167540042 -0.940263696446482 0.220297355386462
"51" "Quercus petraea" 104 "LDMC" -0.126233641160535 0.760714762836573 -1.00107782325398 0.123635844300414
"52" "Shrubland" 105 "LDMC" -0.166892850271283 0.766585940578466 0.997621475901644 1.06079629983238
"53" "Shrubland" 106 "LDMC" 0.0674234390016263 0.971012527163246 0.707094497311086 -0.0560396510134615
"54" "Shrubland" 107 "LDMC" 0.435558066932225 0.994921923689272 -0.00727554339465248 -0.687435636655541
"55" "Quercus petraea" 113 "LDMC" -0.4936655612293 0.832783211908681 -0.208290044774138 -0.168172717217333
"56" "Quercus petraea" 114 "LDMC" -0.120776543588053 0.597269814296451 -0.875295302237472 0.0365061897847276
