"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"1" "Quercus pyrenaica" 1 "LDMC" 0.308105732391754 0.877424107404376 -0.850919796442708 0.649262100801566
"2" "Quercus pyrenaica" 2 "LDMC" 0.568710552960818 0.437525723260683 -0.223374601432998 0.230689328654235
"3" "Quercus pyrenaica" 3 "LDMC" 0.414605653541269 0.74948671898803 -0.580146726337503 0.694955313200468
"4" "Quercus pyrenaica" 4 "LDMC" 0.646149085107334 1.09446704551709 -0.250436354380283 -0.0110873132780993
"5" "Quercus pyrenaica" 5 "LDMC" 0.0950919499573115 1.66657891169353 -0.343695098479778 -0.782194149173631
"6" "Quercus pyrenaica" 6 "LDMC" 0.50491739471102 1.75544843492528 -0.304011122132651 -0.63514932857504
"7" "Quercus pyrenaica" 7 "LDMC" 0.341075870206315 1.28854668921962 -0.216415925582898 -0.244608365478451
"8" "Quercus pyrenaica" 8 "LDMC" 0.570404248043763 0.51441718990659 -0.876192986595727 1.22971239776365
"9" "Q. pyrenaica-F. sylvativa" 9 "LDMC" 0.215624237993066 0.230837846950169 0.615030458796848 0.102047986645022
"10" "Q. pyrenaica-F. sylvativa" 10 "LDMC" 0.14342966248217 0.204995258222432 0.784073249308092 1.05728054760781
"11" "Quercus pyrenaica" 12 "LDMC" 0.270751942578978 0.911230718137595 -0.246603639649484 0.0579640617237969
"12" "Q. pyrenaica-F. sylvativa" 14 "LDMC" 0.253750822229961 0.250338156300643 0.46863054329433 0.505299521576896
"13" "Q. pyrenaica-F. sylvativa" 15 "LDMC" 0.195526235808538 0.223183693933011 0.704027731054288 0.658243178677726
"14" "Q. pyrenaica-F. sylvativa" 16 "LDMC" 0.0897671112361944 0.325138123682587 -0.856309900809228 3.71467284149482
"15" "Q. pyrenaica-F. sylvativa" 17 "LDMC" -0.0131019761486474 0.367742169259286 -1.24473968426043 3.81609595161219
"16" "Quercus pyrenaica" 20 "LDMC" 0.153312209963897 1.14326458771285 -0.559306825291784 -0.202424461386227
"17" "Q. pyrenaica-F. sylvativa" 21 "LDMC" 0.298004869977353 0.272506018291669 0.400822673088724 -0.492123332639327
"18" "Q. pyrenaica-F. sylvativa" 22 "LDMC" 0.155798005269823 0.238726970410045 0.458241490538709 0.634985743097717
"19" "Q. pyrenaica-F. sylvativa" 23 "LDMC" -0.170515180915127 0.308300251408075 -0.163254713686 0.204265836225484
"20" "Q. pyrenaica-F. sylvativa" 33 "LDMC" 0.0428236991225666 0.34905507702619 0.0569533278941277 0.0130035884268942
"21" "Fagus sylvatica" 41 "LDMC" 0.250950773423588 0.751178437090789 0.0506473307831403 -0.822278158778804
"22" "Fagus sylvatica" 42 "LDMC" 0.648678436184188 0.545860679133176 -0.320742168089448 -1.1880884433314
"23" "Mixed forest" 48 "LDMC" -0.160703751618608 1.00639781683152 0.00827931276296134 1.46533453411993
"24" "Mixed forest" 49 "LDMC" -0.0454820115167073 1.10494110016132 -0.424134313301033 -0.259084085525899
"25" "Fagus sylvatica" 52 "LDMC" 0.763273211010616 0.646533156594435 -1.11474872926474 0.415149197063812
"26" "Fagus sylvatica" 53 "LDMC" 0.396357387490318 0.695970604703966 -0.0758005362770431 -1.08257250291053
"27" "Fagus sylvatica" 54 "LDMC" 0.692333832604231 0.525683911023628 -0.346783203924774 -1.19015397029625
"28" "Mixed forest" 58 "LDMC" 0.0845742531170393 1.19519893282172 0.119785835633102 1.35994346470389
"29" "Mixed forest" 59 "LDMC" 0.405783242122072 0.905132075236555 -0.678342037539091 -0.105338476352155
"30" "Mixed forest" 60 "LDMC" 0.17173667533994 0.70726158688895 -0.526032561299003 -0.0658989730466395
"31" "Fagus sylvatica" 61 "LDMC" 0.230691047763591 0.989175290252091 -0.211253015103794 -1.28829413960737
"32" "Fagus sylvatica" 62 "LDMC" 0.369150269844273 0.84099556893817 -0.3163751011367 -1.0755311974183
"33" "Fagus sylvatica" 63 "LDMC" 0.267872097379075 0.735923097830701 -0.0018546469498116 -1.08540028905597
"34" "Fagus sylvatica" 64 "LDMC" 0.720783293865767 0.591400413053079 -0.687469970986186 -0.360238237528012
"35" "Fagus sylvatica" 65 "LDMC" 0.841086053171346 0.452760586082799 -0.735863057903172 -0.36327391063782
"36" "Mixed forest" 67 "LDMC" 0.157838716163584 0.560005346540977 0.461764635431163 2.37080449244179
"37" "Mixed forest" 68 "LDMC" 0.36112345945129 0.75895155588177 0.861970604247582 2.22998586137898
"38" "Mixed forest" 69 "LDMC" 0.0239522982490721 0.452336806961128 -0.937229770629235 2.92737645381771
"39" "Mixed forest" 70 "LDMC" 0.456331871549779 0.59894584348511 -0.402691020807339 0.353570930520593
"40" "Mixed forest" 71 "LDMC" -0.131499252150052 0.580013355933662 -0.524371199339534 -0.111798958798832
"41" "Quercus petraea" 80 "LDMC" 0.301798733274257 0.225976593409695 -2.51514917469215 10.2751071501385
"42" "Shrubland" 83 "LDMC" 0.112891866617474 0.548408026279527 -0.0032458882965233 0.040610705757115
"43" "Shrubland" 84 "LDMC" -0.484254519439632 0.529224430706615 0.614573359964698 -0.501708562236561
"44" "Quercus petraea" 90 "LDMC" 0.343411711152606 0.152955025047999 -2.29148248595866 11.0304283702139
"45" "Quercus petraea" 91 "LDMC" 0.34316515720444 0.129172442831202 -1.61490795490825 8.22750926078565
"46" "Quercus petraea" 93 "LDMC" 0.339856975055567 0.11433056224402 -0.0336282324336066 0.212955222033482
"47" "Shrubland" 95 "LDMC" 0.173814403963647 0.567573289977262 0.591777620621319 1.90464551135713
"48" "Shrubland" 96 "LDMC" 0.251684491639317 1.1356541077182 0.258177716641257 -0.807726879335597
"49" "Quercus petraea" 102 "LDMC" 0.362525784931198 0.134427574598094 -3.7639539579733 15.850928701925
"50" "Quercus petraea" 103 "LDMC" 0.313139760507358 0.25622189415242 -3.35351297003042 11.9884606667976
"51" "Quercus petraea" 104 "LDMC" 0.332578714880571 0.177289281048721 -2.60321792352613 12.570339550838
"52" "Shrubland" 105 "LDMC" -0.0798543905809641 0.695119756457021 0.805183322418343 0.304774535687494
"53" "Shrubland" 106 "LDMC" 0.116175531571168 0.758053544231355 0.17009334916082 -0.11298570174415
"54" "Shrubland" 107 "LDMC" 0.571082720951311 0.881082855663085 0.0233959372270754 -0.329058151383081
"55" "Quercus petraea" 113 "LDMC" -0.51244661447514 1.21668687918554 0.0827907023965153 -0.752244660598794
"56" "Quercus petraea" 114 "LDMC" 0.366564844024441 0.122842299750702 -2.84995974455284 13.5225348450833
"57" "Quercus petraea" 115 "LDMC" 0.333049399094388 0.183891004870284 -2.93003293773786 8.8262099616201
"58" "Shrubland" 116 "LDMC" 0.0222577326999198 0.694491885810772 0.418209494776072 0.246410423156267
"59" "Shrubland" 117 "LDMC" -0.0349725429698545 0.949291172005972 0.384796915541456 -0.794419527505807
